Id,SalePrice
1461,126657.41270125503
1462,169876.3572472547
1463,189273.13961947724
1464,203290.63479310603
1465,191552.15162816533
1466,179803.86950898872
1467,184257.14231522052
1468,173693.30216498394
1469,190683.8802909467
1470,119540.2686175561
1471,209360.96418790251
1472,106025.9277995133
1473,107503.11953513573
1474,158598.51691450528
1475,128386.2038817454
1476,376642.6871831131
1477,248836.5450375495
1478,299592.92608643096
1479,297074.6134352532
1480,543829.588337255
1481,340954.4022216039
1482,209941.8502892546
1483,191528.19351778537
1484,170805.53163697003
1485,196859.96276777942
1486,208665.58261711668
1487,335810.67421639874
1488,242145.7116813023
1489,191910.207366711
1490,233203.6991594089
1491,204749.1666081542
1492,102464.98772208195
1493,200897.5599267588
1494,329694.53439224034
1495,319280.84092356404
1496,233929.89956406792
1497,188510.96337894775
1498,169351.95662031282
1499,170632.36164603868
1500,162061.6886785799
1501,179467.59594109826
1502,160317.37597421894
1503,266683.6527018228
1504,244817.48031503745
1505,230274.3014143772
1506,196207.2322057126
1507,267511.7834228498
1508,222160.5985335147
1509,167385.3713420842
1510,146100.4845643709
1511,149567.53992204124
1512,175661.58606644097
1513,150297.30060860194
1514,170611.5439739121
1515,213001.78187493375
1516,169899.4660013545
1517,179381.93518377762
1518,138332.49942973367
1519,231611.44688677447
1520,131032.91933670327
1521,132607.99749489047
1522,174975.2277120907
1523,113354.0160632344
1524,125783.41516552638
1525,124303.09381586025
1526,124039.02350559333
1527,110723.71123271517
1528,148757.90917668762
1529,144443.71197027786
1530,176796.3094377335
1531,116445.47681616404
1532,108287.47589972107
1533,148881.96509332847
1534,127477.363209134
1535,169805.6823634777
1536,114720.281147516
1537,73081.18355564696
1538,185032.75979977776
1539,206672.026993233
1540,107301.20690184901
1541,148122.76697817136
1542,142858.9058812256
1543,209083.21730052086
1544,94944.61666072301
1545,119147.93231340325
1546,133371.8815307751
1547,135352.31475853772
1548,133608.3487039767
1549,114679.5873522613
1550,128739.18603085348
1551,121374.79184472108
1552,128215.45892070714
1553,156680.8564498679
1554,124336.09706775143
1555,175572.71530335382
1556,99431.68660398835
1557,109103.3190559403
1558,106050.84629099708
1559,92458.49797602744
1560,139412.94937673546
1561,129137.64095696752
1562,135010.3888003567
1563,121639.58664933784
1564,165704.91802451317
1565,155013.08158899515
1566,256091.91863633692
1567,84878.41385050457
1568,238059.32222258768
1569,138577.6261145806
1570,150466.85515922058
1571,126095.0982956148
1572,146300.47743397095
1573,261071.6370962289
1574,120665.34829939388
1575,238954.2677370417
1576,253082.62911638847
1577,184156.46153852096
1578,151401.37402940003
1579,145098.23457688914
1580,201378.1859377787
1581,166308.1853868678
1582,125439.82755439922
1583,342159.9636749995
1584,234533.34292470088
1585,143647.84809612614
1586,80373.50587241442
1587,110249.45915840846
1588,148503.1166665081
1589,108713.2790989344
1590,141177.1663065934
1591,97613.06237836937
1592,124028.0573920741
1593,123215.93530575694
1594,135515.26610639214
1595,113769.95640016261
1596,232061.3701947452
1597,188316.5423603408
1598,218272.74149379312
1599,174880.3791520372
1600,168146.7298826352
1601,68672.31985377187
1602,112043.13222529068
1603,98010.45467080073
1604,252822.46637632733
1605,264930.914737711
1606,176782.20071721956
1607,190999.659368971
1608,211634.06812704215
1609,186172.52827964834
1610,151988.40292349723
1611,143425.31488985868
1612,176006.91812422092
1613,168641.33365610143
1614,125454.29065539739
1615,97903.0996515734
1616,81355.0361761895
1617,100173.4992017788
1618,132221.93757502423
1619,149014.89107811038
1620,165559.76420510613
1621,142783.5888629384
1622,141106.40050667393
1623,296981.9832868886
1624,232106.84990118552
1625,124911.6786506769
1626,172439.9290272467
1627,195726.60071843944
1628,311405.271402759
1629,185145.4289279872
1630,382623.4129954757
1631,208733.74087460656
1632,244886.36418967228
1633,176346.42840634345
1634,194188.97903473882
1635,186408.50587032322
1636,160636.3156907293
1637,198196.18630946375
1638,224528.9741399589
1639,186530.34603663825
1640,291274.20534915425
1641,188569.60352390638
1642,238095.99527172075
1643,240230.91827220583
1644,241487.85510430904
1645,203633.20080724286
1646,167540.67370934348
1647,165019.18773914746
1648,133545.04929509416
1649,147919.3417332753
1650,121030.47112668018
1651,126047.99664665446
1652,110096.38460953809
1653,112939.26150983108
1654,154240.4359913417
1655,148628.11850095188
1656,151529.90519903638
1657,154092.43663297166
1658,158162.3287535189
1659,131279.507043214
1660,164320.48479648848
1661,526384.152618299
1662,417430.9334524093
1663,397675.8497750483
1664,593475.5054914614
1665,304410.9685313457
1666,351163.2893975007
1667,425995.1969667485
1668,334921.1689429112
1669,308401.08840963396
1670,366553.0764046351
1671,280702.0955720676
1672,492764.3452057995
1673,315501.20372610464
1674,244562.33701563784
1675,196673.41651230765
1676,195089.13668842337
1677,222009.11047453445
1678,550109.3053809812
1679,417980.1903842906
1680,328219.1145658365
1681,251279.47117714598
1682,322007.81573443284
1683,192313.64722545608
1684,200940.1212299782
1685,185405.52492014808
1686,179927.52636066847
1687,181817.32639502158
