OverallQual,ExterQual,GarageValue,GrLivArea,GarageAge,KitchenQual,FullBath,BsmtQual,BathValue,HouseAge,SalePrice
1.5,1.0,0.7832015271338969,0.37852452684434146,,1.0,0.0,1.0,0.4,-0.5652173913043478,12.70351207261035
0.5,1.0,0.5890373602399782,1.0583236770954036,,1.0,-1.0,1.0,0.2,-0.6304347826086957,12.387089184491993
2.0,1.0,1.7878374693209709,4.653534183082271,,2.0,1.0,1.0,1.8,-0.5217391304347826,13.521140839642674
-0.5,0.0,-0.6981183528770112,0.4418694476631904,,2.0,-1.0,-2.0,-0.8,1.9782608695652173,11.728044909070785
-0.5,0.0,-0.7155713116989365,-1.1942835071456162,,2.0,-1.0,-2.0,-0.8,1.1304347826086956,11.362114203075018
-0.5,0.0,-0.7497500227252067,-0.5979142526071842,,0.0,-1.0,-2.0,-0.8,1.1304347826086956,11.112462823634855
-0.5,0.0,-0.4799563676029452,-0.04943993820007725,,0.0,0.0,-2.0,0.0,1.3478260869565217,11.790564777297387
-1.5,0.0,-0.5672211617125715,0.3630745461568173,,0.0,0.0,-2.0,0.4,1.608695652173913,11.461642696843066
0.0,0.0,0.6883010635396782,0.6241792197759752,,0.0,1.0,0.0,1.4,-0.2608695652173913,12.08954444723597
1.0,1.0,0.5017725661303518,1.2344534569331789,,1.0,0.0,0.0,0.6,-0.5869565217391305,12.460718739865236
0.5,1.0,-0.28361058085628577,-0.11123986095017381,,1.0,0.0,0.0,0.0,-0.7391304347826086,11.891368749982085
0.0,0.0,0.13744205072266158,0.34916956353804557,,0.0,0.0,0.0,0.6,-0.6086956521739131,12.10625783509458
0.0,1.0,-0.3446959367330243,-0.49903437620702973,,0.0,-1.0,0.0,-0.2,-0.7391304347826086,11.86710429621008
0.5,1.0,0.1745295882192528,-0.4078794901506373,,1.0,0.0,0.0,0.6,-0.7391304347826086,11.878630514504515
-0.5,0.0,-0.872647941096264,-0.5005793742757821,,0.0,-1.0,0.0,-0.8,-0.7608695652173914,11.344518647594766
0.0,0.0,-0.3817834742296155,1.2282734646581692,,1.0,0.0,0.0,0.4,0.41304347826086957,12.28765724080691
0.0,0.0,-0.22252522497954733,1.4152182309772112,,0.0,0.0,0.0,0.6,0.15217391304347827,11.767575435251748
-0.5,0.0,-0.872647941096264,-0.7570490536886829,,0.0,-1.0,0.0,-0.8,-0.41304347826086957,11.44572741040675
0.0,1.0,0.7995636760294519,-0.19621475473155658,,1.0,0.0,0.0,0.4,-0.5434782608695652,12.10625783509458
-0.5,0.0,-0.872647941096264,-1.2885283893395134,,2.0,-1.0,0.0,-0.4,0.021739130434782608,11.429554725537322
0.0,0.0,0.0872647941096264,-0.6102742371572035,,0.0,0.0,0.0,0.0,-0.08695652173913043,11.849404844423074
0.5,1.0,0.7002999727297519,1.6315179606025492,,1.0,0.0,0.0,0.6,-0.5,12.577639650232573
0.5,1.0,0.41014453231524406,0.503669370413287,,1.0,0.0,0.0,1.0,-0.5652173913043478,12.170450649220749
0.0,0.0,0.6915734933187893,0.09115488605639242,,0.0,0.0,0.0,0.2,-0.06521739130434782,12.100717685412471
1.0,1.0,0.6981183528770112,0.4248744689069139,,1.0,0.0,0.0,1.0,-0.5434782608695652,12.058158312538197
0.5,0.0,0.17016634851377146,0.21166473541908074,,0.0,0.0,0.0,0.0,-0.08695652173913043,11.964007453736912
-0.5,0.0,0.3054267793836924,-0.5222093472383159,,2.0,0.0,0.0,0.2,-0.08695652173913043,12.07254696717504
0.0,1.0,0.436323970548132,0.06952491309385864,,1.0,0.0,0.0,0.4,-0.32608695652173914,12.07254696717504
1.0,1.0,0.7832015271338969,0.6967941290073387,,1.0,0.0,0.0,1.0,-0.45652173913043476,12.301387370778713
1.0,1.0,1.1562585219525499,0.5870992661259173,,1.0,0.0,0.0,0.4,-0.6739130434782609,12.456835254920371
1.0,1.0,0.8639214616853014,1.6315179606025492,,1.0,0.0,0.0,1.0,-0.4782608695652174,12.644330802262578
1.0,1.0,0.3599672757022089,-0.16067979915025107,,1.0,-1.0,0.0,-0.4,-0.21739130434782608,12.141539457711714
0.5,0.0,0.0981728933733297,-0.016994978756276556,,1.0,-1.0,0.0,0.2,-0.32608695652173914,12.154784614286667
1.0,1.0,1.3035178620125443,2.2155272305909617,,1.0,0.0,0.0,0.4,-0.06521739130434782,12.567240979056246
0.5,1.0,0.5672211617125715,0.21629972962533797,,1.0,0.0,0.0,1.0,-0.6956521739130435,12.301387370778713
-1.0,0.0,-0.872647941096264,-0.03707995365005794,,0.0,0.0,0.0,0.8,-0.10869565217391304,11.918397239722838
-1.0,0.0,-0.5366784837742024,-0.8250289687137891,,1.0,-1.0,-4.0,-0.8,0.6304347826086957,11.349241150793087
-0.5,0.0,-0.4908644668666485,-0.29045963692545385,,0.0,-1.0,-1.0,-0.8,0.34782608695652173,11.002116507732017
-1.0,0.0,-0.872647941096264,-0.42023947470065665,,0.0,-1.0,-1.0,-0.2,0.4782608695652174,11.813037464800539
-1.0,0.0,-0.5584946823016089,-0.7786790266512167,,0.0,-1.0,-1.0,-0.8,0.391304347826087,11.626263078808801
-1.0,0.0,0.27924734115080446,-0.5191193511008111,,0.0,-1.0,-1.0,-0.8,1.1956521739130435,11.133142723386813
-0.5,0.0,-0.872647941096264,0.772499034376207,,0.0,-1.0,-1.0,-0.2,1.3478260869565217,11.775297421715827
-2.0,0.0,-0.5366784837742024,-1.5202780996523755,,0.0,-2.0,-1.0,-1.2,0.4782608695652174,10.471978128496518
